airport_code,sample_coverage_today_PU,sample_coverage_today_DO,geo_coverage_today_PU,geo_coverage_today_DO,n_unique_routes_today_PU,n_unique_routes_today_DO,_status
LHR,0.6126,0.1405,0.2199,0.0083,28.0,6.0,
CDG,0.9514,0.8374,0.4678,0.3483,18.0,17.0,
LGW,0.1645,0.0202,0.0472,0.0001,7.0,2.0,
MAN,0.5149,0.513,0.2757,0.386,20.0,29.0,
MAD,0.7179,0.7145,0.3841,0.314,7.0,5.0,
AMS,0.9662,0.8896,0.8051,0.7604,76.0,42.0,
ORY,0.8118,0.7464,0.3185,0.1851,11.0,8.0,
STN,0.3363,0.007,0.093,0.0,11.0,1.0,
BCN,0.9359,0.9112,0.8301,0.8659,34.0,33.0,
LTN,0.1474,0.0391,0.0117,0.0258,5.0,6.0,
LIS,0.9544,0.8598,0.7692,0.7576,36.0,32.0,
DXB,0.9391,0.7427,0.6448,0.5607,69.0,51.0,
BER,0.8408,0.8348,0.7122,0.7218,35.0,49.0,
RUH,0.3148,0.738,0.1706,0.34,17.0,58.0,
BHX,0.4622,0.5887,0.1433,0.2405,15.0,29.0,
NCE,0.9557,0.9905,0.841,0.8754,50.0,62.0,
PRG,0.9576,0.9459,0.8528,0.8681,22.0,27.0,
FRA,0.7215,0.8363,0.5444,0.6023,46.0,69.0,
MUC,0.4696,0.8019,0.6725,0.6827,37.0,45.0,
ATH,0.0,0.0,0.0,0.0,0.0,0.0,
DUB,0.0,0.0,0.0,0.0,0.0,0.0,
VIE,0.9402,0.9777,0.8441,0.8693,45.0,40.0,
AGP,0.5772,0.741,0.253,0.2473,3.0,3.0,
ZRH,0.8907,0.9546,0.6041,0.7185,51.0,57.0,
FCO,,,,,,,
ARN,0.8741,0.8657,0.613,0.607,54.0,54.0,
JNB,0.5135,0.5748,0.2146,0.1549,19.0,15.0,
EDI,0.7658,0.939,0.6374,0.8053,20.0,20.0,
BRU,0.0,0.0,0.0,0.0,0.0,0.0,
MXP,,,,,,,
JED,0.4291,0.8738,0.336,0.7092,31.0,60.0,
DUS,0.789,0.897,0.4915,0.4316,48.0,52.0,
WAW,0.0,0.7883,0.0,0.1334,0.0,2.0,
OPO,0.0,0.0,0.0,0.0,0.0,0.0,
CPT,0.0,0.0,0.0,0.0,0.0,0.0,
OTP,0.8596,0.9732,0.7224,0.7687,31.0,46.0,
FAO,0.7299,0.78,0.5033,0.5958,30.0,52.0,
IST,,,,,,,
LCY,0.0,0.3139,0.0,0.2029,0.0,9.0,
LYS,0.8494,0.9202,0.5833,0.7415,30.0,41.0,
CPH,0.8838,0.9624,0.7575,0.8747,38.0,60.0,
GVA,,,,,,,
BRS,0.6062,0.5914,0.4715,0.407,13.0,15.0,
MRS,0.7021,0.7902,0.6699,0.7348,38.0,39.0,
BUD,0.0,0.0,0.0,0.0,0.0,0.0,
GLA,0.0,0.0,0.0,0.0,0.0,0.0,
NCL,,,,,,,
LPL,,,,,,,
AUH,,,,,,,
PMI,,,,,,,
CGN,0.7297,0.7905,0.3311,0.4393,28.0,44.0,
HEL,0.8942,0.9751,0.7341,0.8074,58.0,80.0,
LBA,0.0,0.0,0.0,0.0,0.0,0.0,
KRK,0.9082,0.9202,0.7808,0.8488,23.0,32.0,
TLS,0.9059,0.9576,0.8068,0.854,50.0,60.0,
SVQ,0.9457,0.9822,0.851,0.9353,16.0,27.0,
LIN,,,,,,,
DMM,,,,,,,
BVA,0.0,0.0,0.0,0.0,0.0,0.0,
MLA,0.7573,0.8396,0.5617,0.6455,4.0,12.0,
CAI,0.2329,0.2631,0.2328,0.1695,13.0,14.0,
VLC,0.8884,0.8504,0.8536,0.9125,20.0,32.0,
SPU,,,,,,,
NBO,0.0,0.0,0.0,0.0,0.0,0.0,
DOH,0.0,0.0,0.0,0.0,0.0,0.0,
BOD,0.808,0.8699,0.6821,0.7557,33.0,39.0,
ZAG,0.0,0.0,0.0,0.0,0.0,0.0,
EMA,0.1481,0.2457,0.0678,0.1325,4.0,7.0,
ALC,0.0,0.0,0.0,0.0,0.0,0.0,
SAW,,,,,,,
DBV,,,,,,,
OSL,0.4855,0.7272,0.7379,0.7878,41.0,55.0,
