airport_code,trip_type,hex_id,child_hex_id,time_bucket,dist_bucket,sessions,avg_dist_km
NBO,PU,877a6e42cffffff,887a6e42c3fffff,wked_night,10-20 km,62,12.95113877834117
FRA,PU,871faeaaaffffff,881faeaaa1fffff,wkd_evening,5-10 km,31,5.88574079892453
LHR,DO,87194ada5ffffff,88194ada59fffff,wked_morning,10-20 km,311,18.851970460552256
PRG,DO,871e35418ffffff,881e354181fffff,wked_morning,10-20 km,149,12.726101713228434
BER,DO,871f1d489ffffff,881f1d4899fffff,wked_day,10-20 km,74,19.5236204432806
TFS,DO,87344124affffff,88344124a3fffff,wked_day,10-20 km,110,15.359863847710264
CDG,PU,871fb4671ffffff,881fb46719fffff,wked_night,10-20 km,3,13.991083147227847
CDG,DO,871fb4660ffffff,881fb46601fffff,wked_morning,10-20 km,42,18.797807134343724
MAN,PU,871951b40ffffff,881951b401fffff,wked_day,5-10 km,28,6.697326514688707
LIS,DO,87393362bffffff,88393362b9fffff,wked_morning,5-10 km,318,5.733257446193035
ARN,PU,87088662dffffff,88088662d1fffff,wrek_late_evening,20-30 km,11,27.98552568224163
NUE,DO,871fabab5ffffff,881fabab51fffff,wrek_evening,5-10 km,4,5.130574516973599
PRG,DO,871e3541effffff,881e3541e3fffff,wked_night,10-20 km,808,11.236808733178831
BHX,PU,87195c2a0ffffff,88195c2a09fffff,wrek_evening,20-30 km,2,21.48161626567562
CDG,DO,871fb0936ffffff,881fb0936dfffff,wked_morning,10-20 km,8,18.270893659961253
VLC,DO,873954815ffffff,8839548157fffff,wked_day,40-50 km,1,47.84752837742248
ORY,PU,871fb4774ffffff,881fb47749fffff,wrek_evening,30-40 km,2,32.76481807297729
MAD,DO,87390cb53ffffff,88390cb539fffff,wkd_night,0-5 km,321,1.9121373410810536
BCN,PU,873944603ffffff,8839446035fffff,wkd_night,5-10 km,78,9.688330828658618
AYT,PU,873f6e36dffffff,883f6e36d7fffff,wkd_morning,5-10 km,54,8.957111265484086
NTE,DO,87184584effffff,88184584c5fffff,wkd_day,5-10 km,248,7.844227783395819
DOH,PU,87536bce2ffffff,88536bce2dfffff,wkd_late_evening,5-10 km,2,7.568857326352269
FRA,DO,871fae8daffffff,881fae8da3fffff,wkd_day,20-30 km,64,23.747464104812988
BFS,DO,871952d6effffff,881952d6e1fffff,wkd_day,20-30 km,210,20.23269798054197
DTM,PU,871f12c1bffffff,881f12c1bbfffff,wkd_morning,10-20 km,2,13.642762612910104
LIS,DO,87393362bffffff,88393362b7fffff,wkd_evening,5-10 km,282,6.731635794216237
DUB,DO,87182c8dbffffff,88182c8db5fffff,wkd_morning,5-10 km,843,8.908556897828028
DUS,DO,871fa1902ffffff,881fa1902bfffff,wkd_evening,20-30 km,4,25.10235650888441
DXB,DO,8743acd99ffffff,8843acd995fffff,wkd_morning,5-10 km,55,6.569730441347794
HRG,DO,873e4174dffffff,883e4174d3fffff,wkd_evening,5-10 km,10,8.794332374250262
LHR,PU,87194ada0ffffff,88194ada07fffff,wkd_day,10-20 km,39,16.560241630651692
MAN,PU,871951a04ffffff,881951a04bfffff,wkd_morning,10-20 km,6,12.789980525069886
MAN,DO,871951b70ffffff,881951b70bfffff,wrek_evening,5-10 km,5,6.653782619154202
ARN,PU,8708866a5ffffff,8808866a51fffff,wrek_evening,40-50 km,2,43.33703276457405
DUB,DO,87182c118ffffff,88182c1183fffff,wrek_evening,10-20 km,10,17.504435965330646
LIS,DO,873933029ffffff,883933029bfffff,wked_day,40-50 km,2,46.23389746608586
PMO,PU,871e9a052ffffff,881e9a0523fffff,wkd_day,20-30 km,207,23.05960554768877
PMI,DO,87395c9a6ffffff,88395c9a6bfffff,wkd_night,0-5 km,308,2.2615742363226787
GDN,DO,871f09b24ffffff,881f09b247fffff,wkd_day,10-20 km,284,11.935262953768834
ESB,DO,872d33372ffffff,882d33372bfffff,wkd_morning,20-30 km,3,20.14921381121646
ELQ,DO,87530cb6cffffff,88530cb6c7fffff,wked_morning,20-30 km,4,21.358711703737
LTN,DO,87195da6cffffff,88195da6cbfffff,wkd_night,30-40 km,6,38.27238493596334
HRG,DO,873e41382ffffff,883e413823fffff,wkd_evening,5-10 km,66,5.558040666914068
NAP,DO,871e8329dffffff,881e8329d9fffff,wked_day,0-5 km,445,3.643212491510138
CPH,PU,871f05831ffffff,881f05831dfffff,wrek_evening,5-10 km,7,8.570189747959649
LHR,DO,87195d371ffffff,88195d3719fffff,wked_night,0-5 km,7,1.621413720066243
BER,DO,871f18b1cffffff,881f18b1c1fffff,wked_day,5-10 km,5,6.668489666933676
BRS,DO,871958393ffffff,8819583935fffff,wkd_morning,10-20 km,355,11.51257360772987
CDG,PU,871fb0916ffffff,881fb09169fffff,wkd_day,20-30 km,8,23.290014455146714
MAD,PU,87390ca24ffffff,88390ca247fffff,wkd_day,5-10 km,175,8.533465513385575
CDG,DO,871fb42b2ffffff,881fb42b29fffff,wkd_night,10-20 km,25,12.989848574794957
TUU,DO,875336d04ffffff,885336d043fffff,wkd_evening,10-20 km,1,15.871475296726835
STR,DO,871faa7aaffffff,881faa7aa3fffff,wkd_evening,5-10 km,1,7.421422962382618
CAI,DO,873e628f0ffffff,883e628f03fffff,wked_night,20-30 km,13,21.29176847450266
DXB,DO,8743a1371ffffff,8843a1371bfffff,wrek_evening,10-20 km,4,17.553142401522642
BCN,PU,87394460effffff,88394460edfffff,wrek_evening,10-20 km,169,13.44181291204636
LGW,DO,87194ad9effffff,88194ad9e1fffff,wrek_evening,30-40 km,1,33.048597779615726
RUH,PU,875355d35ffffff,885355d357fffff,wrek_late_evening,20-30 km,7,28.567656392220417
OPO,DO,873922052ffffff,8839220523fffff,wked_day,10-20 km,1,11.930055032688816
SAW,DO,871ec915bffffff,881ec915bdfffff,wked_day,10-20 km,2,17.683027778874514
IAS,DO,871e556c0ffffff,881e556c63fffff,wked_day,5-10 km,1,7.48592419564163
BRU,PU,871fa44e6ffffff,881fa44e65fffff,wkd_day,5-10 km,55,9.405105139632065
CPH,DO,871f05804ffffff,881f058049fffff,wkd_day,5-10 km,33,7.351151982065145
LHR,PU,87195d301ffffff,88195d3011fffff,wkd_evening,10-20 km,2,13.881833914786926
AGP,PU,873919710ffffff,8839197109fffff,wkd_late_evening,50-60 km,17,55.892903241269465
WAW,DO,871f53cdcffffff,881f53cdcbfffff,wkd_night,20-30 km,4,24.57488970709568
