airport_code,competitor,dist_bucket,hex_id,num_observations,time_bucket,trip_type
MAN,Bolt,10-20 km,871951b75ffffff,1,wked_day,PU
ZRH,Bolt,10-20 km,871f8ed90ffffff,4,wked_day,PU
ZRH,Bolt,20-30 km,871f83ac9ffffff,2,wkd_morning,PU
LHR,Bolt,30-40 km,87194ad05ffffff,1,wked_morning,PU
BCN,Cabify,10-20 km,87394461dffffff,24,wked_day,PU
DUS,Bolt,5-10 km,871fa539dffffff,1,wkd_night,PU
FRA,Bolt,10-20 km,871faeaacffffff,4,wked_morning,DO
OSL,Bolt,10-20 km,870999386ffffff,1,wrek_evening,PU
ORY,Bolt,20-30 km,871fb4644ffffff,1,wked_night,PU
GDN,Bolt,10-20 km,871f09b24ffffff,2,wked_night,PU
DXB,Bolt,10-20 km,8743acd9bffffff,8,wked_morning,DO
AMS,Bolt,10-20 km,871969c9affffff,4,wkd_day,DO
AMS,Bolt,10-20 km,871969c9affffff,5,wkd_morning,DO
AMS,Bolt,10-20 km,8719695b5ffffff,4,wrek_late_evening,PU
BER,Bolt,0-5 km,871f18a25ffffff,1,wrek_evening,DO
OTP,Bolt,10-20 km,871eeeb6bffffff,16,wkd_late_evening,DO
DUS,Bolt,5-10 km,871fa52b1ffffff,3,wkd_morning,DO
LYS,Bolt,0-5 km,871f90254ffffff,2,wkd_night,DO
MAD,Cabify,10-20 km,87390cb0affffff,19,wkd_night,PU
MPL,Bolt,5-10 km,87396e96dffffff,3,wrek_late_evening,PU
NTE,Bolt,10-20 km,871845849ffffff,11,wkd_day,DO
NTE,Bolt,10-20 km,87184585effffff,5,wkd_morning,DO
RTM,Bolt,20-30 km,87196b842ffffff,2,wkd_late_evening,PU
SVQ,Cabify,0-5 km,87391c754ffffff,4,wkd_morning,DO
TLS,Bolt,20-30 km,873960118ffffff,4,wkd_day,PU
GDN,Bolt,0-5 km,871f09b20ffffff,1,wked_day,DO
VIE,Bolt,20-30 km,871e15b73ffffff,31,wkd_late_evening,PU
DXB,Bolt,30-40 km,8743a1329ffffff,1,wrek_evening,PU
JNB,BoltEco,20-30 km,87bcc350cffffff,8,wkd_morning,PU
JED,Bolt,10-20 km,8753a9cc1ffffff,4,wkd_night,DO
OTP,Bolt,20-30 km,871eeeb44ffffff,4,wkd_night,PU
GOT,Bolt,0-5 km,871f25a9effffff,1,wkd_night,PU
AGP,Cabify,5-10 km,8739195b1ffffff,6,wrek_evening,PU
OTP,Bolt,20-30 km,871eeeb4cffffff,1,wkd_late_evening,PU
FAO,Bolt,10-20 km,873911580ffffff,1,wrek_late_evening,DO
AMS,Bolt,50-60 km,871969c9bffffff,1,wkd_evening,DO
HEL,Bolt,20-30 km,87089969cffffff,1,wkd_late_evening,PU
MUC,Bolt,10-20 km,871f8d0caffffff,1,wkd_night,PU
DXB,Bolt,5-10 km,8743accb3ffffff,1,wkd_night,PU
JED,Bolt,10-20 km,8753a950bffffff,1,wked_day,PU
EDI,Bolt,5-10 km,871972761ffffff,1,wked_day,PU
AGP,Bolt,10-20 km,8739195b1ffffff,39,wked_night,PU
MPL,Bolt,10-20 km,87396c488ffffff,4,wrek_late_evening,DO
MUC,Bolt,30-40 km,871f8d320ffffff,2,wked_morning,PU
ARN,Bolt,40-50 km,870886618ffffff,3,wked_day,DO
FAO,Bolt,0-5 km,873911580ffffff,4,wkd_late_evening,DO
BCN,Cabify,10-20 km,873944600ffffff,8,wkd_day,PU
BEY,Bolt,10-20 km,872da24eeffffff,2,wkd_late_evening,DO
BEY,Bolt,5-10 km,872da24c5ffffff,3,wrek_evening,DO
BER,Bolt,20-30 km,871f1d49cffffff,4,wkd_morning,DO
BER,Bolt,20-30 km,871f1d48dffffff,3,wkd_day,DO
BOD,Bolt,20-30 km,87184d9b5ffffff,4,wkd_evening,PU
DUS,Bolt,0-5 km,871fa52a4ffffff,2,wkd_late_evening,PU
GOT,Bolt,30-40 km,871f25061ffffff,3,wkd_day,PU
NCE,Bolt,5-10 km,873969a10ffffff,4,wkd_late_evening,DO
NCE,Bolt,10-20 km,873969aa0ffffff,1,wkd_day,PU
TLS,Bolt,5-10 km,8739601b5ffffff,4,wkd_evening,DO
TLS,Bolt,20-30 km,8739600a4ffffff,4,wrek_late_evening,PU
GDN,Bolt,10-20 km,871f09b24ffffff,29,wkd_day,DO
VIE,Bolt,10-20 km,871e15b40ffffff,3,wkd_day,PU
